COMMENT,Note: An 'x' indicates that a particular quality criteria is given. A 'v' indicates that the paper does not qualify for the criteria.,,,,,,,,,,,,,,
Scalable infrastructures for data in motion,"Ediger, D. and McColl, R. and Poovey, J. and Campbell, D.",2014,x,x,v,v,v,v,v,v,v,x,v,v,x
STAGGER: Periodicity mining of data streams using expanding sliding windows,"Elfeky, M.G.a and Aref, W.G.b and Elmagarmid, A.K.b",2006,x,x,x,x,x,v,v,v,v,x,v,x,v
Using convolution to mine obscure periodic patterns in one pass,"Elfeky, M.G. and Aref, W.G. and Elmagarmid, A.K.",2004,x,x,x,v,v,v,x,v,v,x,v,x,v
Mining for emerging technologies within text streams and documents,"Engel, D. and Whitney, P. and Calapristi, G. and Brockman, F.",2009,x,v,v,v,v,v,v,v,v,v,v,x,x
Why does unsupervised pre-training help deep learning?,"Erhan, D. and Courville, A. and Bengio, Y. and Vincent, P.",2010,x,x,x,v,x,v,v,v,v,v,v,x,v
On the Performance of Virtualized Infrastructures for Processing Realtime Streaming Data,"Ericson, Kathleen and Pallickara, Shrideep",2012,x,v,v,x,v,v,v,v,v,v,v,x,x
SSM: A frequent sequential data stream patterns miner,"Ezeife, C.I. and Monwar, M.",2007,x,x,x,v,v,v,v,v,v,x,v,x,x
Novel class detection in concept-drifting data stream mining employing decision tree,"Farid, D.Md. and Rahman, C.M.",2012,x,x,x,x,v,v,v,v,v,x,v,x,v
An adaptive ensemble classifier for mining concept drifting data streams,"Farid, D.M.a and Zhang, L.a and Hossain, A.a and Rahman, C.M.b and Strachan, R.a and Sexton, G.a and Dahal, K.c",2013,x,x,x,x,v,x,v,x,x,x,v,x,v
P2P-FISM: Mining (recently) frequent item sets from distributed data streams over \{P2P\} network,Zahra Farzanyar and Mohammadreza Kangavari and Nick Cercone,2013,x,x,v,x,v,v,v,v,v,x,v,x,x
An Improved Algorithm of Decision Trees for Streaming Data Based on VFDT,{Feixiong Li} and {Quan Liu},2008,x,x,x,x,v,x,v,x,x,x,v,x,v
Neural network learning algorithms for tracking minor subspace in high-dimensional data stream,"Feng, D.-Z.a and Zheng, W.-X.b and Jia, Y.c",2005,x,x,v,x,v,v,v,v,v,x,x,x,v
MFISW: A new method for mining frequent itemsets in time and transaction sensitive sliding window,"Feng, J. and Yan, Z. and Kang, Y. and Wang, J. and An, L.",2009,x,x,v,x,v,x,v,v,v,v,v,x,v
Data stream mining for predicting software build outcomes using source code metrics,"Finlay, J. and Pears, R. and Connor, A.M.",2014,x,x,v,x,v,x,v,v,v,v,v,x,x
An Adaptive Distributed Ensemble Approach to Mine Concept-Drifting Data Streams,"Folino, Gianluigi and Pizzuti, Clara and Spezzano, Giandomenico",2007,x,x,v,x,v,x,v,v,v,v,v,x,v
Incremental Learning Algorithms for Fast Classification in Data Stream,"Fong, Simon and Luo, Zhicong and Yap, Bee Wah",2013,v,v,x,v,v,v,v,v,v,v,v,x,v
Evaluation of stream mining classifiers for real-time clinical decision support system: A case study of blood glucose prediction in diabetes therapy,"Fong, S.a and Zhang, Y.a and Fiaidhi, J.b and Mohammed, O.b and Mohammed, S.b",2013,x,x,v,x,x,v,v,v,v,x,v,x,x
A distributed approach for optimizing cascaded classifier topologies in real-time stream mining systems.,"Foo, Brian and van der Schaar, Mihaela",2010,x,x,v,v,v,v,x,v,v,x,v,x,x
BodyCloud: Integration of Cloud Computing and body sensor networks,"Fortino, Giancarlo and Pathan, Mukaddim and {Di Fatta}, Giuseppe",2012,x,x,v,v,v,v,v,v,v,v,v,v,x
Online and Non-parametric Drift Detection Methods Based on HoeffdingÃ¢â‚¬â„¢s Bounds,"Frias-Blanco, Isvani and del Campo-Avila, Jose and Ramos-Jimenez, Gonzalo and Morales-Bueno, Rafael and Ortiz-Diaz, Agustin and Caballero-Mota, Yaile",2014,x,x,v,x,v,v,x,v,v,x,x,x,v
Distributed data stream classification for wireless sensor networks,"Gaber, M.M.a and Shiddiqi, A.M.b",2010,x,x,x,v,v,v,v,v,v,x,v,x,v
Detection and classification of changes in evolving data streams,"Gaber, M.M.a and Yu, P.S.b",2006,x,x,v,x,v,x,v,v,v,x,v,x,v
Interactive self-adaptive clutter-aware visualisation for mobile data mining,Mohamed Medhat Gaber and Shonali Krishnaswamy and Brett Gillick and Hasnain AlTaiar and Nicholas Nicoloudis and Jonathan Liono and Arkady Zaslavsky,2013,x,x,v,x,v,x,v,v,v,x,v,v,x
A Wireless Data Stream Mining Model,"Gaber, Mohamed Medhat and Krishnaswamy, Shonali and Zaslavsky, Arkady",,x,x,x,v,v,v,v,v,v,x,v,x,v
Cost-efficient mining techniques for data streams,"Gaber, Mohamed Medhat and Krishnaswamy, Shonali and Zaslavsky, Arkady",2004,x,v,v,x,v,x,v,v,v,x,v,x,v
Classification of convective areas using decision trees,"Gagne II, D.J.a and McGovern, A.b and Brotzge, J.c",2009,x,x,v,x,v,v,v,v,v,v,v,x,x
Using R to Model Click-Stream Data to Understand Users ' Path To Conversion,"Galagate, Douglas and Jank, Professor Wolfgang",,x,v,x,v,v,v,v,v,v,x,v,x,x
Learning decision trees from dynamic data streams,"Gama, Jo\~{a}o and Medas, Pedro",2005,x,x,x,x,v,x,v,v,v,v,v,x,v
Decision trees for mining data streams,"Gama, J.a and Fernandes, R.b and Rocha, R.b",2006,x,x,x,x,v,x,v,x,x,x,v,x,v
Detecting and monitoring abrupt emergences and submergences of episodes over data streams,Min Gan and Honghua Dai,2014,x,v,x,x,v,x,v,v,v,x,v,x,v
An efficient one-pass method for discovering bases of recently frequent episodes over online data streams,"Gan, M. and Dai, H.",2012,x,x,x,x,v,x,v,v,v,x,v,x,v
Research in data stream clustering based on Gaussian Mixture Model Genetic Algorithm,"Gao, Ming-ming and Gao, Xiang-xiang",2010,x,x,x,x,v,x,v,v,v,x,v,x,v
A Heuristic Method for Unstructured Pattern Management over Data Streams,"Gaoshan, Miao and Hongyan, Li and Tengjiao, Wang",2010,x,x,v,x,v,x,v,v,v,x,v,x,v
LEARNING FROM DATA STREAMS WITH CONCEPT DRIFTLEARNING FROM DATA STREAMS WITH CONCEPT DRIFT,"Garnett, Roman",,x,x,x,x,v,x,v,x,x,x,v,x,v
An evaluation framework for traffic information systems based on data streams,Sandra Geisler and Christoph Quix and Stefan Schiffer and Matthias Jarke,2012,x,v,x,v,x,v,v,v,v,v,v,x,x
Continuous outlier detection in data streams,"Georgiadis, Dimitrios and Kontaki, Maria and Gounaris, Anastasios and Papadopoulos, Apostolos N. and Tsichlas, Kostas and Manolopoulos, Yannis",2013,x,x,x,v,v,v,v,v,v,x,v,x,v
Clutter-adaptive visualization for mobile data mining,"Gillick, B.a and AlTaiar, H.a and Krishnaswamy, S.a and Liono, J.a and Nicoloudis, N.a and Sinha, A.a and Zaslavsky, A.a and Gaber, M.M.b",2010,x,x,x,v,v,v,v,v,v,v,v,v,x
Regularly frequent patterns mining from sensor data stream,"Gondal, I. and Kamruzzaman, J.",2013,x,x,x,x,v,x,v,v,v,x,v,x,v
Dendritic Cells for Anomaly Detection,"Greensmith, J. and Twycross, J. and Aickelin, U.",2006,x,x,x,x,v,x,v,v,v,x,v,x,x
Toward Predictive Failure Management for Distributed Stream Processing Systems,"Gu, Xiaohui and Papadimitriou, Spiros and Yu, Philip S. and Chang, Shu-Ping",2008,x,x,x,x,v,x,v,x,x,x,v,x,x
Online Anomaly Prediction for Robust Cluster Systems,"Gu, Xiaohui and Wang, Haixun",2009,x,x,x,x,v,x,v,x,x,x,x,x,x
Mining frequent patterns across multiple data streams,"Guo, Jing and Zhang, Peng and Tan, Jianlong and Guo, Li",2011,x,x,x,x,v,x,x,v,v,x,v,x,v
Approximate mining of global closed frequent itemsets over data streams,Lichao Guo and Hongye Su and Yu Qu,2011,x,x,v,v,x,v,v,v,v,x,v,x,v
A New Algorithm for Mining Global Frequent Itemsets in a Stream,"Guo, Lichao and Su, Hongye and Qu, Yu",2009,x,x,v,x,v,x,v,v,v,x,v,x,v
Mining closed itemsets in data stream using formal concept analysis,"Gupta, A. and Bhatnagar, V. and Kumar, N.",2010,x,x,v,x,v,v,v,v,v,x,v,x,v
Mining of multiobjective non-redundant association rules in data streams,"Gupta, A. and Kumar, N. and Bhatnagar, V.",2012,x,x,x,x,v,x,v,v,v,x,v,x,v
Using big data and smart field technology for detecting leakage in a CO2 storage project,"Haghighat, S.A. and Mohaghegh, S.D. and Gholami, V. and Shahkarami, A. and Moreno, D.",2013,x,x,x,x,v,x,v,v,v,x,v,x,x
Open Mobile Miner: A Toolkit for Building Situation-Aware Data Mining Applications,"Haghighi, P.D.a and Krishnaswamy, S.a and Zaslavsky, A.b and Gaber, M.M.c and Sinha, A.a and Gillick, B.a",2013,x,x,x,v,x,v,v,v,v,x,v,x,x
Mobile Data Mining for Intelligent Healthcare Support,"Haghighi, P.D. and Zaslavsky, A. and Krishnaswamy, S. and Gaber, M.M.",2009,x,x,v,v,v,v,v,v,v,x,v,x,x
Situation-Aware Adaptive Processing (SAAP) of Data Streams,"Haghighi, Pari Delir and Gaber, Mohamed Medhat and Krishnaswamy, Shonali and Zaslavsky, Arkady",,x,x,v,v,v,v,v,v,v,x,v,x,v
Online Clustering of Distributed Streaming Data Using Belief Propagation Techniques,"Halkidi, Maria and Koutsopoulos, Iordanis",2011,x,x,v,x,v,x,v,v,v,v,v,x,v
DOI: 10.1007/s10619-005-3296-1 Stream Cube: An Architecture for Multi-Dimensional Analysis of Data Streams,"Han, Jiawei and Chen, Yixin and Dong, Guozhu and Pei, Jian and Wah, Benjamin W. and Wang, Jianyong and Cai, Y. Dora and Elmagarmid, Ahmed",2005,x,x,v,x,v,x,v,v,v,x,v,v,v
Hybrid Cube: An Architecture for Analysis of Network Security Events Data Stream,"Han, Yu and Niu, Wei and Zhu, Junmao",2011,x,x,v,x,v,x,v,v,v,v,v,x,v
Real-time Business Intelligence System Architecture with Stream Mining,"Hang, Yang and Fong, Simon",,x,v,x,v,v,v,v,v,v,x,v,v,v
Stream mining over fluctuating network traffic at variable data rates,"Hang, Y. and Fong, S.",2010,x,v,x,x,v,x,v,v,v,v,v,x,v
IMSPMIS-Stream: incremental mining of top-k short sequential pattern over multiple item set streams,"Hao, X.a b and Han, G.a b and Chen, Y.a b and Wang, P.a b and Ren, J.a b",2014,x,x,x,x,v,x,v,x,x,x,v,x,v
AQS-20 Through-the-Sensor (TTS) Performance Assessment,"Harris, M. and Avera, W. and Steed, C. and Sample, J. and Bibee, L.D. and Morgerson, D. and Hammack, J. and Null, M.",2005,x,v,v,v,v,v,v,v,v,v,v,v,x
Subspace MOA: Subspace stream clustering evaluation using the MOA framework,"Hassani, M. and Kim, Y. and Seidl, T.",2013,x,x,x,v,v,v,v,x,x,v,v,x,v
Density-based projected clustering of data streams,"Hassani, M.a and Spaus, P.a and Gaber, M.M.b and Seidl, T.a",2012,x,x,x,x,v,x,v,x,x,x,v,x,v
Mining and tracking evolving web user trends from large web server logs,"Hawwash, B. and Nasraoui, O.",2010,x,x,x,x,v,x,v,x,x,x,v,x,v
A real-time stream storage and analysis platform for underwater acoustic monitoring,"Hayes, J. P. and Kolar, H. R. and Akhriev, A. and Barry, M. G. and Purcell, M. E. and McKeown, E. P.",2013,x,x,v,v,v,v,v,v,v,v,v,x,x
"Electronic Colloquium on Computational Complexity, Report No. 88 (2007) Adaptive Algorithms for Online Decision Problems","Hazan, Elad and Seshadhri, C.",,x,x,x,v,v,v,x,v,v,x,v,x,v
A Single-pass Online Data Mining Algorithm Combined with Control Theory with Limited Memory in Dynamic Data Streams,"He, Yanxiang and Xiong, Naixue and D\'{e}fago, Xavier and Yang, Yan and He, Jing",,x,x,x,x,v,x,x,v,v,v,v,x,v
Improving home automation by discovering regularly occurring device usage patterns,"Heierman, E.O. and Cook, D.J.",2003,x,x,v,v,x,v,x,v,v,x,v,x,x
Mining temporal sequences to discover interesting patterns,"Heierman, Edwin O. and Youngblood, G. Michael and Cook, Diane J.",2004,x,x,x,v,v,v,v,v,v,x,x,x,v
Frequent Bit Pattern Mining Over Tri-axial Accelerometer Data Streams for Recognizing Human Activities and Detecting Fall,C.Sweetlin Hemalatha and V. Vaidehi,2013,x,x,x,x,v,x,v,x,x,x,v,x,x
Minimal Infrequent Pattern based approach for mining outliers in data streams,C. Sweetlin Hemalatha and V. Vaidehi and R. Lakshmi,2014,x,x,x,x,v,x,v,x,x,x,v,x,x
ohmage: An Open Mobile System for Activity and Experience Sampling,"Hicks, John and Ramanathan, Nithya and Falaki, Hossein and Longstaff, Brent and Parameswaran, Kannan and Monibi, Mohamad and Kim, Donnie H. and Selsky, Joshua and Jenkins, John and Tangmunarunkit, Hongsuda and Estrin, Deborah",,x,x,v,x,v,x,v,v,v,v,v,v,x
Automated Bayesian quality control of streaming rain gauge data,David J. Hill,2013,x,x,v,x,v,x,v,v,v,x,v,x,v
Learning from data streams via online transduction,"Ho, Shen-Shyang and et Al.",,x,x,x,x,v,x,v,v,v,v,v,x,v
Automated cyclone discovery and tracking using knowledge sharing in multiple heterogeneous satellite data,"Ho, S.-S. and Talukder, A.",2008,x,x,x,x,v,x,v,v,v,v,x,x,x
Arterial travel time forecast with streaming data: A hybrid approach of flow modeling and machine learning,Aude Hofleitner and Ryan Herring and Alexandre Bayen,2012,x,x,x,x,v,x,v,v,v,v,v,x,x
A fuzzy approach for interpretation of ubiquitous data stream clustering and its application in road safety,"Horovitz, O. and Krishnaswamy, S. and Gaber, M.M.",2007,x,x,v,v,v,v,v,v,v,v,v,x,v
"Bayesian Classification on Spatial Data Streams Using P-Treesâ€™, CS-NDSU","Hossain, Mohammad and Perera, Amal Shehan and Perrizo, William",,x,x,v,v,v,v,v,v,v,v,v,x,v
Efficiently mining frequent patterns in recent music query streams,{Hua-Fu Li} and {Ming-Ho Hsiao} and {Hsuan-Sheng Chen},2008,x,x,x,x,v,x,v,x,x,x,v,x,x
Online Mining (Recently) Maximal Frequent Itemsets over Data Streams,{Hua-Fu Li} and {Suh-Yin Lee} and {Man-Kwan Shan},2005,x,x,v,x,v,x,x,v,v,x,v,x,x
Mining frequent closed structures in streaming melody sequences,{Hua-Fu Li} and {Suh-Yin Lee} and {Man-Kwan Shan},2004,x,x,v,x,v,x,x,v,v,x,v,x,x
Online mining abnormal period patterns from multiple medical sensor data streams,"Huang, G.a and Zhang, Y.a and Cao, J.b and Steyn, M.a c and Taraporewalla, K.c",2014,x,x,x,x,v,x,v,x,v,v,v,x,x
A semi-supervised boosting algorithm for mining time-changing data streams,"Huang, S. and Sha, A. and Ma, S.",2011,x,x,x,x,v,x,v,v,v,x,v,x,v
History guided low-cost change detection in streams,"Huang, W. and Omiecinski, E. and Mark, L. and Nguyen, M.Q.",2009,x,x,x,x,v,x,v,v,v,x,v,x,v
A New Evolving Data Streams System with Data Fusion,"Huijun, Yu and Zhigang, Wang and Xiaoyan, Liu",2012,x,v,x,x,v,x,v,x,v,x,v,x,v
Feature extraction from sensor data streams for real-time human behaviour recognition,"Hunter, J. and Colley, M.",2007,x,x,x,x,v,v,v,v,v,x,v,x,x
Finding Recent Frequent Itemsets Adaptively over Online Data Streams,"Hyuk, Joong and Won, Chang and Lee, Suk",,x,x,x,x,v,v,v,v,v,x,v,x,v
Adaptive Windowing for Online Learning from Multiple Inter-related Data Streams,"Ikonomovska, Elena and Driessens, Kurt and Dzeroski, Saso and Gama, Joao",2011,x,x,x,x,v,x,v,x,x,x,v,x,v
Learning model trees from evolving data streams,"Ikonomovska, E.a d and Gama, J.b c and DÃ…Â¾eroski, S.a",2011,x,x,x,v,v,v,v,v,v,x,v,x,v
"Parallel, Incremental and Interactive Mining for","In, Frequent Itemsets and Veloso, Adriano and Meira, Wagner and {De Carvalho}, Marcio Bunte and Parthasarathy, Srinivasan and Zaki, Mohammed",,x,x,v,x,v,x,v,v,v,v,v,x,v
Detecting current outliers: Continuous outlier detection over time-series data streams,"Ishida, K. and Kitagawa, H.",2008,x,x,x,v,v,v,v,v,v,v,v,x,x
Towards a New Approach for Mining Frequent Itemsets on Data Stream,"Jain, Shailendra and Patil, Sonal",,x,x,x,v,v,v,v,v,v,x,v,x,v
Online Algorithms for Complete Itemset Counts Using Set-to-String Mappings,"Jawad, Ahmed and Karim, Asim and Khan, Imdadullah",2006,x,x,v,x,v,x,x,v,v,v,v,x,v
A load shedding scheme for frequent pattern mining in transactional data streams,"Jea, Kuen-Fang and Li, Chao-Wei and Hsu, Chih-Wei and Lin, Ru-Ping and Yen, Ssu-Fan",2011,x,x,v,v,x,v,v,v,v,x,v,x,x
Online data stream Mining of Recent Frequent Itemsets based on Sliding Window model,{Jia-Dong Ren} and {Ke Li},2008,x,x,x,x,v,x,v,x,x,x,v,x,v
Online mining closed frequent itemsets in the time window over data streams,"Jiang, M.a b and Ni, Z.a b and Meng, J.a b and Zhiqiang, Z.a b",2011,x,x,x,x,v,x,x,v,v,x,v,x,v
An Efficient Algorithm to Mine Online Data Streams,"Jiang, Nan",,x,x,x,x,v,x,v,v,v,x,v,x,v
L.: Estimating Missing Data in Data Streams,"Jiang, Nan and Gruenwald, Le",2007,x,x,x,x,v,x,v,v,v,x,v,x,v
Introducing perpetual analytics,"Jonas, J.",2006,z,z,z,z,z,z,z,z,z,z,z,z,z
Early Drift Detection Method,"Jose, Manuel Baena-Garca and \'{A}vila, Jos\'{e} Del Campo- and Fidalgo, Ra\'{u}l and Bifet, Albert and Gavald\`{a}, Ricard and Morales-bueno, Rafael",,x,x,x,x,v,v,v,v,v,x,v,x,v
A reference web architecture and patterns for real-time visual analytics on large streaming data,"Kandogan, E.a and Soroker, D.a and Rohall, S.a and Bak, P.a and Van Ham, F.a and Lu, J.a and Ship, H.-J.a and Wang, C.-F.b and Lai, J.a",2014,x,v,v,v,v,v,v,v,v,x,v,x,v
A novel approach to optimal cutting tool replacement,"Karacal, C.a and Cho, S.a and Yu, W.b",2009,x,v,v,v,v,v,v,v,v,v,v,x,x
VEDAS: A mobile and distributed data stream mining system for real-time vehicle monitoring,"Kargupta, H.a and Bhargava, R.a and Liu, K.a and Powers, M.a and Blair, P.a and Bushra, S.a and Dull, J.a and Sarkar, K.b and Klein, M.b and Vasa, M.b and Handy, D.b",2004,x,x,v,v,v,v,v,v,v,v,v,x,x
An adaptive ensemble classifier for mining complex noisy instances in data streams,"Karim, Md. Rejaul and Farid, Dewan Md.",2014,x,x,x,x,v,x,v,v,v,x,v,x,v
Dynamic evolving spiking neural networks for on-line spatio- and spectro-temporal pattern recognition,Nikola Kasabov and Kshitij Dhoble and Nuttapod Nuntalid and Giacomo Indiveri,2013,x,x,x,x,v,x,x,x,x,x,x,x,v
Novel document detection for massive data streams using distributed dictionary learning,"Kasiviswanathan, S. P. and Cong, G. and Melville, P. and Lawrence, R. D.",2013,x,v,v,x,v,v,x,v,v,x,v,x,x
Massive stream data processing to attain anomaly Intrusion Prevention,"Kavitha, C. and Suresh, M.",2012,x,x,v,v,v,v,v,v,v,x,v,x,v
Processing massive data streams to achieve anomaly intrusion prevention,"Kavitha, C.a and Suresh, M.b",2012,x,x,v,v,v,v,v,v,v,x,v,x,x
Comparing ODAC and Hierarchical algorithm using time series data streams,"Kavitha, V. and Punithavalli, M.",2010,x,x,v,v,v,v,v,v,v,v,v,v,v
Anomaly Detection in data streams using fuzzy logic,"Khan, Muhammad Umair",2009,x,v,v,v,v,v,v,v,v,v,v,x,v
Mining events connections on the social web: Real-time instance matching and data analysis in EventMedia,Houda Khrouf and Vuk Milicic and RaphaÃƒÂ«l Troncy,2014,x,x,v,v,v,v,v,v,v,x,v,v,v
Real-time sequential pattern mining for USN system,"Kim, J. and Choi, P. and Hwang, B.",2012,x,x,x,x,v,v,v,v,v,x,v,x,v
A sliding window-based false-negative approach for ubiquitous data stream analysis,"Kim, Y.a and Park, D.-S.b and Kim, H.c and Kim, U.a",2012,x,x,v,x,v,x,v,v,v,x,v,x,v
A multiagent approach to adaptive continuous analysis of streaming data in complex uncertain environments,"Kiselev, I.a and Alhajj, R.b",2009,x,x,v,x,v,x,v,v,v,x,v,x,v
A self-stabilizing \{MSA\} algorithm in high-dimension data stream,Xiangyu Kong and Changhua Hu and Chongzhao Han,2010,x,x,v,v,v,v,x,v,v,x,x,x,v
An Ensemble-based Approach to Fast Classification of Multi-label Data Streams,"Kong, Xiangnan and Yu, Philip S.",,x,x,v,x,v,x,v,v,v,x,v,x,v
Modeling skew in data streams,"Korn, F.a and Muthukrishnan, S.b and Wu, Y.b",2006,x,x,v,x,v,x,x,v,v,x,v,x,x
Very fast decision rules for multi-class problems,"Kosina, P.a b and Gama, J.a c",2012,x,x,x,x,v,v,v,x,v,x,v,x,v
Mining Named Entities with Temporally Correlated Bursts from Multilingual Web News Streams,"Kotov, Alexander and Zhai, Chengxiang and Sproat, Richard",,x,x,v,x,v,v,v,x,x,x,v,x,v
Hierarchical clustering for real-time stream data with noise,"Kranen, Philipp and Reidl, Felix and Villaamil, Fernando Sanchez and Seidl, Thomas",2011,x,x,x,v,v,v,v,v,v,x,v,x,v
Real-time data analysis in ClowdFlows,"Kranjc, Janez and Podpecan, Vid and Lavrac, Nada",2013,v,x,v,v,v,v,v,v,v,x,v,x,x
Active learning for sentiment analysis on data streams: Methodology and workflow implementation in the ClowdFlows platform,"Kranjc, J.a b and SmailoviÃ„â€¡, J.a b and PodpeÃ„ï¿½an, V.a c and GrÃ„ï¿½ar, M.a and Ã…Â½nidarÃ…Â¡iÃ„ï¿½, M.a and LavraÃ„ï¿½, N.a b d",2014,x,v,v,v,v,v,v,v,v,x,v,x,v
Nearest Neighbor Distributions for imbalanced classification,"Kriminger, Evan and Principe, Jose C. and Lakshminarayan, Choudur",2012,x,x,v,x,v,v,v,x,v,x,v,x,v
Online identification of frequently executed acyclic paths by leveraging data stream algorithms,"Kumar, G.a b and Roy, S.a",2013,v,x,v,v,v,v,v,v,v,v,v,x,v
"G. Vijay Kumar, M. Sreedevi \& NVS Pavan Kumar Mining Regular Patterns in Data Streams Using Vertical Format","Kumar, G. Vijay and Sreedevi, M.",,x,x,v,x,v,x,v,v,v,x,v,x,v
Finding correlated heavy-hitters over data streams,"Lahiri, Bibudh and Tirthapura, Srikanta",2009,x,v,v,x,v,v,x,v,v,x,v,x,v
A hybrid fraud scoring and spike detection technique in streaming data,"Laleh, N. and Abdollahi Azgomi, M.",2010,x,x,v,x,v,x,v,v,v,x,v,x,x
Mining a stream of transactions for customer patterns,"Lambert, Diane and Pinheiro, Jos C.",2001,x,x,v,x,v,v,v,v,v,x,x,x,v
Enhanced Anytime Algorithm for Induction of Oblivious Decision Trees,"Last, Mark and Saveliev, Albina",,x,x,x,x,v,x,v,v,v,x,v,x,v
Analyzing feasibility for deploying very fast decision tree for DDoS attack detection in cloud-assisted WBAN,"Latif, R.a and Abbas, H.a b and Assar, S.c and Latif, S.a",2014,x,v,v,v,v,v,x,v,v,v,v,x,x
Finding maximal frequent itemsets over online data streams adaptively,"Lee, D. and Lee, W.",2005,x,x,v,x,v,v,v,v,v,x,v,x,v
A single pass algorithm of finding frequent vibrated items over online data streams,"Lee, G. and Chen, Q.-T.",2007,x,x,v,v,v,v,v,v,v,x,v,x,v
